MSN,YYYYMM,Value,Column_Order,Description,Unit
DKEIEUS,1996-01,0.931,3,"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",Million Metric Tons of Carbon Dioxide
DKEIEUS,1996-02,1.19,3,"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",Million Metric Tons of Carbon Dioxide
DKEIEUS,1996-03,0.754,3,"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",Million Metric Tons of Carbon Dioxide
DKEIEUS,1996-04,0.474,3,"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",Million Metric Tons of Carbon Dioxide
DKEIEUS,1996-05,0.641,3,"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",Million Metric Tons of Carbon Dioxide
DKEIEUS,1996-06,0.513,3,"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",Million Metric Tons of Carbon Dioxide
DKEIEUS,1996-07,0.626,3,"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",Million Metric Tons of Carbon Dioxide
DKEIEUS,1996-08,0.532,3,"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",Million Metric Tons of Carbon Dioxide
DKEIEUS,1996-09,0.565,3,"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",Million Metric Tons of Carbon Dioxide
DKEIEUS,1996-10,0.509,3,"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",Million Metric Tons of Carbon Dioxide
DKEIEUS,1996-11,0.527,3,"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",Million Metric Tons of Carbon Dioxide
DKEIEUS,1996-12,0.735,3,"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",Million Metric Tons of Carbon Dioxide
DKEIEUS,1997-01,0.911,3,"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",Million Metric Tons of Carbon Dioxide
DKEIEUS,1997-02,0.459,3,"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",Million Metric Tons of Carbon Dioxide
DKEIEUS,1997-03,0.454,3,"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",Million Metric Tons of Carbon Dioxide
DKEIEUS,1997-04,0.565,3,"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",Million Metric Tons of Carbon Dioxide
DKEIEUS,1997-05,0.516,3,"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",Million Metric Tons of Carbon Dioxide
DKEIEUS,1997-06,0.745,3,"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",Million Metric Tons of Carbon Dioxide
DKEIEUS,1997-07,1.389,3,"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",Million Metric Tons of Carbon Dioxide
DKEIEUS,1997-08,0.732,3,"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",Million Metric Tons of Carbon Dioxide
DKEIEUS,1997-09,0.562,3,"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",Million Metric Tons of Carbon Dioxide
DKEIEUS,1997-10,0.596,3,"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",Million Metric Tons of Carbon Dioxide
DKEIEUS,1997-11,0.562,3,"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",Million Metric Tons of Carbon Dioxide
