MSN,YYYYMM,Value,Column_Order,Description,Unit
GEEIEUS,199601,0.03,7,Geothermal Energy Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
GEEIEUS,199602,0.028,7,Geothermal Energy Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
GEEIEUS,199603,0.03,7,Geothermal Energy Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
GEEIEUS,199604,0.029,7,Geothermal Energy Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
GEEIEUS,199605,0.03,7,Geothermal Energy Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
GEEIEUS,199606,0.029,7,Geothermal Energy Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
GEEIEUS,199607,0.03,7,Geothermal Energy Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
GEEIEUS,199608,0.03,7,Geothermal Energy Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
GEEIEUS,199609,0.029,7,Geothermal Energy Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
GEEIEUS,199610,0.03,7,Geothermal Energy Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
GEEIEUS,199611,0.029,7,Geothermal Energy Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
GEEIEUS,199612,0.03,7,Geothermal Energy Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
GEEIEUS,199701,0.032,7,Geothermal Energy Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
GEEIEUS,199702,0.029,7,Geothermal Energy Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
GEEIEUS,199703,0.032,7,Geothermal Energy Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
GEEIEUS,199704,0.031,7,Geothermal Energy Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
GEEIEUS,199705,0.032,7,Geothermal Energy Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
GEEIEUS,199706,0.031,7,Geothermal Energy Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
GEEIEUS,199707,0.032,7,Geothermal Energy Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
GEEIEUS,199708,0.032,7,Geothermal Energy Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
GEEIEUS,199709,0.031,7,Geothermal Energy Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
GEEIEUS,199710,0.032,7,Geothermal Energy Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
GEEIEUS,199711,0.031,7,Geothermal Energy Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
GEEIEUS,199712,0.032,7,Geothermal Energy Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
GEEIEUS,199801,0.032,7,Geothermal Energy Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
GEEIEUS,199802,0.029,7,Geothermal Energy Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
GEEIEUS,199803,0.032,7,Geothermal Energy Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
GEEIEUS,199804,0.031,7,Geothermal Energy Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
