MSN,YYYYMM,Value,Column_Order,Description,Unit
PAEIEUS,199601,7.526,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,199602,7.847,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,199603,5.728,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,199604,3.227,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,199605,3.924,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,199606,5.382,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,199607,7.357,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,199608,6.193,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,199609,4.917,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,199610,3.524,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,199611,4.247,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,199612,5.764,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,199701,7.44,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,199702,4.086,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,199703,3.808,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,199704,3.949,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,199705,4.649,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,199706,6.784,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,199707,8.855,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,199708,7.45,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,199709,7.391,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,199710,6.875,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,199711,6.502,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,199712,6.978,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,199801,6.339,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,199802,5.56,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,199803,8.134,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,199804,6.559,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,199805,9.004,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
