MSN,YYYYMM,Value,Column_Order,Description,Unit
PCEIEUS,199601,0.734,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199602,0.566,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199603,0.462,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199604,0.522,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199605,0.583,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199606,0.578,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199607,0.852,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199608,1.022,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199609,0.848,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199610,0.698,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199611,0.609,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199612,0.652,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199701,0.414,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199702,0.41,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199703,0.256,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199704,0.761,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199705,0.998,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199706,1.069,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199707,1.065,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199708,1.185,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199709,1.195,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199710,1.038,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199711,1.002,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199712,0.978,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199801,1.112,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199802,0.873,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199803,0.893,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199804,1.007,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199805,1.043,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199806,1.19,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199807,1.254,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199808,1.175,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199809,1.109,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199810,1.027,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199811,1.008,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199812,0.927,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199901,0.931,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199902,0.769,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199903,0.981,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199904,0.881,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199905,0.989,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199906,0.993,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199907,1.205,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199908,1.331,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199909,0.824,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199910,0.829,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199911,0.772,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,199912,0.983,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200001,1.439,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200002,1.174,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200003,0.777,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200004,0.795,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200005,0.724,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200006,0.88,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200007,0.519,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200008,1.011,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200009,0.775,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200010,0.61,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200011,0.659,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200012,0.709,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200101,0.912,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200102,0.827,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200103,0.813,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200104,0.655,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200105,0.748,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200106,0.843,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200107,0.993,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200108,1.035,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200109,0.95,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200110,0.915,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200111,0.806,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200112,1.044,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200201,1.356,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200202,1.412,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200203,1.496,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200204,1.426,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200205,1.61,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200206,1.734,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200207,1.536,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200208,1.727,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200209,1.572,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200210,1.323,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200211,1.268,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200212,1.427,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200301,1.179,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200302,1.087,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200303,0.909,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200304,1.352,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200305,1.28,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200306,1.535,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200307,1.768,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200308,1.755,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200309,1.704,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200310,1.741,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200311,1.754,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200312,1.773,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200401,1.999,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200402,1.718,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200403,1.733,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200404,1.723,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200405,1.82,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200406,1.714,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200407,1.806,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200408,1.987,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PCEIEUS,200409,1.691,4,Petroleum Coke Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
